# op_id	composed_fraction
vyre-libs::parsing::c11_extract_functions	0.000000000000
vyre-libs::parsing::c11_gnu_builtins_pass	0.000000000000
vyre-libs::parsing::c11_gnu_inline_asm_pass	0.000000000000
vyre-libs::parsing::c11_lex_digraphs	0.939393939394
vyre-libs::parsing::c11_lex_single_pass	0.997416020672
vyre-libs::parsing::c::lower::ast_to_pg_nodes	0.000000000000
vyre-libs::parsing::c::lower::ast_to_pg_semantic_graph	0.983333333333
vyre-libs::parsing::c_keyword	0.000000000000
vyre-libs::parsing::c_keyword_packed_haystack	0.000000000000
vyre-libs::parsing::c_lexer	0.971509971510
vyre-libs::parsing::c_sema_scope	0.977064220183
vyre-libs::parsing::c_sema_scope.decl	0.971428571429
vyre-libs::parsing::c_sema_scope.identifier_intern	0.785714285714
vyre-libs::parsing::c_sema_scope.scope	0.970873786408
vyre-libs::parsing::c_sema_scope.scope.brace	0.923076923077
vyre-libs::parsing::c_sema_scope.scope.function_parameters	0.955882352941
vyre-libs::parsing::core_delimiter_match	0.818181818182
vyre-libs::parsing::opt_conditional_mask_with_directives	0.960000000000
vyre-libs::parsing::opt_dynamic_macro_expansion	0.970588235294
vyre-libs::parsing::opt_lower_elf	0.951219512195
vyre-libs::parsing::opt_propagate_type_specifiers	0.935483870968
vyre-libs::parsing::opt_stack_layout_generation	0.000000000000
vyre-libs::parsing::opt_x86_64_register_allocation	0.000000000000
vyre-libs::parsing::python312_extract_calls	0.977777777778
vyre-libs::parsing::python312_extract_decorators	0.975609756098
vyre-libs::parsing::python312_extract_imports	0.956521739130
vyre-libs::parsing::python312_extract_structure	0.973684210526
vyre-libs::parsing::python312_extract_with_blocks	0.966666666667
vyre-libs::parsing::python312_lexer	0.987261146497
vyre-libs::quant::byte_shuffle	0.600000000000
vyre-libs::quant::gptq_round	0.000000000000
vyre-libs::quant::gptq_sdclip	0.000000000000
vyre-libs::quant::int4_batched_matmul_f32_scaled	0.882352941176
vyre-libs::quant::int4_batched_matmul_top1_f32_scaled	0.913043478261
vyre-libs::quant::int4_batched_matvec_f32_scaled	0.866666666667
vyre-libs::quant::int4_dot_f32_scaled	0.846153846154
vyre-libs::quant::int4_dot_i32	0.846153846154
vyre-libs::quant::int4_matvec_f32_scaled	0.866666666667
vyre-libs::quant::int6_pack	0.600000000000
vyre-libs::quant::int6_unpack	0.600000000000
vyre-libs::quant::int8_pack	0.000000000000
vyre-libs::quant::int8_unpack	0.000000000000
vyre-libs::representation::unpack_4bit_f32	0.000000000000
vyre-libs::scan::substring_search	0.000000000000
vyre-libs::security::aliases_dataflow	0.355555555556
vyre-libs::security::auth_check_dominates	0.500000000000
vyre-libs::security::bounded_by_comparison	0.904761904762
vyre-libs::security::buffer_size_check	0.500000000000
vyre-libs::security::dominator_tree	0.904761904762
vyre-libs::security::flows_to	0.888888888889
vyre-libs::security::flows_to_to_sink	0.947368421053
vyre-libs::security::flows_to_with_sanitizer	0.958333333333
vyre-libs::security::format_string_check	0.500000000000
vyre-libs::security::integer_overflow_arith	0.000000000000
vyre-libs::security::label_by_family	0.714285714286
vyre-libs::security::lock_dominates	0.500000000000
vyre-libs::security::path_canonical	0.500000000000
vyre-libs::security::path_reconstruct	0.882352941176
vyre-libs::security::sanitized_by	0.920000000000
vyre-libs::security::sanitizer_dominates	0.500000000000
vyre-libs::security::sink_intersection	0.000000000000
vyre-libs::security::sql_param_bound	0.500000000000
vyre-libs::security::taint_flow	0.888888888889
vyre-libs::security::taint_kill	0.666666666667
vyre-libs::security::taint_pollution	0.947368421053
vyre-libs::security::unchecked_return	0.500000000000
vyre-libs::security::xss_escape	0.500000000000
vyre-libs::builder::indexed_map	0.600000000000
vyre-libs::builder::strided_accumulate	0.538461538462
vyre-libs::visual::blur	0.944444444444
vyre-libs::visual::box_shadow	0.000000000000
vyre-libs::visual::composite	0.920000000000
vyre-libs::visual::downsample	0.000000000000
vyre-libs::visual::filter_chain	0.948717948718
vyre-libs::visual::glass	0.945945945946
vyre-libs::visual::gradient	0.920000000000
vyre-libs::visual::upsample	0.000000000000
vyre-primitives::bitset::and	0.000000000000
vyre-primitives::bitset::and_into	0.000000000000
vyre-primitives::bitset::and_not	0.000000000000
vyre-primitives::bitset::and_not_into	0.000000000000
vyre-primitives::bitset::any	0.000000000000
vyre-primitives::bitset::clear_bit	0.000000000000
vyre-primitives::bitset::contains	0.000000000000
vyre-primitives::bitset::copy	0.000000000000
vyre-primitives::bitset::equal	0.000000000000
vyre-primitives::bitset::four_russians_apply_byte_lut	0.000000000000
vyre-primitives::bitset::four_russians_dense_matvec_byte_lut	0.000000000000
vyre-primitives::bitset::not	0.000000000000
vyre-primitives::bitset::or	0.000000000000
vyre-primitives::bitset::or_into	0.000000000000
vyre-primitives::bitset::popcount	0.000000000000
vyre-primitives::bitset::select1_query	0.000000000000
vyre-primitives::bitset::set_bit	0.000000000000
vyre-primitives::bitset::stochastic_and_mul	0.000000000000
vyre-primitives::bitset::subset_of	0.000000000000
vyre-primitives::bitset::test_bit	0.000000000000
vyre-primitives::bitset::xor	0.000000000000
vyre-primitives::bitset::xor_into	0.000000000000
vyre-primitives::bitset::zero	0.000000000000
vyre-primitives::decode::base64_decode	0.000000000000
vyre-primitives::decode::hex_decode	0.000000000000
vyre-primitives::decode::inflate_stored	0.000000000000
vyre-primitives::decode::rle_segment_lengths	0.000000000000
vyre-primitives::decode::ziftsieve_literal_copy	0.000000000000
vyre-primitives::fixpoint::bitset_fixpoint	0.000000000000
vyre-primitives::fixpoint::persistent_fixpoint	0.000000000000
vyre-primitives::geom::clifford2_geometric_product	0.000000000000
vyre-primitives::geom::tfn_scalar_mix	0.000000000000
vyre-primitives::graph::csr_backward_or_changed	0.000000000000
vyre-primitives::graph::csr_backward_traverse	0.000000000000
vyre-primitives::graph::csr_forward_or_changed	0.000000000000
vyre-primitives::graph::csr_forward_traverse	0.000000000000
vyre-primitives::graph::csr_frontier_degree_sum	0.000000000000
vyre-primitives::graph::csr_queue_strided_forward_traverse	0.000000000000
vyre-primitives::graph::dominator_frontier	0.000000000000
vyre-primitives::graph::dominator_tree	0.844444444444
vyre-primitives::graph::functor_apply	0.000000000000
vyre-primitives::graph::monoidal_compose	0.000000000000
vyre-primitives::graph::motif	0.000000000000
vyre-primitives::graph::path_reconstruct	0.000000000000
vyre-primitives::graph::persistent_bfs	0.909090909091
vyre-primitives::graph::persistent_bfs_step	0.600000000000
vyre-primitives::graph::scc_decompose	0.000000000000
vyre-primitives::graph::sheaf_diffusion_step	0.000000000000
vyre-primitives::graph::sum_product_evaluate	0.000000000000
vyre-primitives::graph::sum_product_evaluate_leveled	0.000000000000
vyre-primitives::graph::tensor_flow_forward	0.000000000000
vyre-primitives::graph::union_find	0.000000000000
vyre-primitives::graph::vast_walk_postorder	0.000000000000
vyre-primitives::graph::vast_walk_preorder	0.000000000000
vyre-primitives::hardware::bit_reverse_u32	0.000000000000
vyre-primitives::hardware::fma_f32	0.000000000000
vyre-primitives::hardware::inverse_sqrt_f32	0.000000000000
vyre-primitives::hardware::popcount_u32	0.000000000000
vyre-primitives::hardware::storage_barrier	0.000000000000
vyre-primitives::hardware::subgroup_add	0.000000000000
vyre-primitives::hardware::subgroup_ballot	0.000000000000
vyre-primitives::hardware::subgroup_shuffle	0.000000000000
vyre-primitives::hardware::workgroup_barrier	0.000000000000
vyre-primitives::hash::adler32	0.000000000000
vyre-primitives::hash::blake3_g	0.000000000000
vyre-primitives::hash::blake3_round	0.463768115942
vyre-primitives::hash::crc32	0.000000000000
vyre-primitives::hash::fnv1a32	0.000000000000
vyre-primitives::hash::fnv1a64	0.000000000000
vyre-primitives::hash::multi_hash	0.000000000000
vyre-primitives::hash::ntt_butterfly_stage	0.000000000000
vyre-primitives::hash::sparse_fft_bin_hash	0.000000000000
vyre-primitives::label::resolve_family	0.000000000000
vyre-primitives::matching::bracket_match	0.000000000000
vyre-primitives::math::amg_jacobi_step	0.000000000000
vyre-primitives::math::amg_v_cycle	0.978021978022
vyre-primitives::math::amg_v_cycle::v_cycle_phase	0.000000000000
vyre-primitives::math::bellman_shortest_path	0.000000000000
vyre-primitives::math::bhattacharyya_coefficient	0.000000000000
vyre-primitives::math::bigint_add_carry	0.000000000000
vyre-primitives::math::conformal_threshold	0.000000000000
vyre-primitives::math::conv1d	0.000000000000
vyre-primitives::math::dot_partial	0.000000000000
vyre-primitives::math::gaussian_rdp_step	0.000000000000
vyre-primitives::math::hensel_lift_step	0.000000000000
vyre-primitives::math::iht_threshold	0.000000000000
vyre-primitives::math::interval_merge	0.000000000000
vyre-primitives::math::mori_zwanzig_project_step	0.000000000000
vyre-primitives::math::mp_edge_clip	0.000000000000
vyre-primitives::math::newton_schulz_poly5_f32	0.000000000000
vyre-primitives::math::qsvt_block_encode	0.000000000000
vyre-primitives::math::quantized::i4x8_batched_matmul_f32_scaled	0.000000000000
vyre-primitives::math::quantized::i4x8_batched_matmul_top1_f32_scaled	0.000000000000
vyre-primitives::math::quantized::i4x8_batched_matvec_f32_scaled	0.000000000000
vyre-primitives::math::quantized::i4x8_dot_f32_scaled	0.000000000000
vyre-primitives::math::quantized::i4x8_dot_i32	0.000000000000
vyre-primitives::math::quantized::i4x8_matvec_f32_scaled	0.000000000000
vyre-primitives::math::quantized::unpack_i4x8	0.000000000000
vyre-primitives::math::randomized_projection_step	0.000000000000
vyre-primitives::math::scallop_join	0.000000000000
vyre-primitives::math::scallop_join_wide	0.000000000000
vyre-primitives::math::semiring_gemm	0.000000000000
vyre-primitives::math::sheaf_laplacian_eigenvalue	0.833333333333
vyre-primitives::math::sheaf_laplacian_eigenvalue::power_iteration_phase	0.000000000000
vyre-primitives::math::sinkhorn_iterate	0.000000000000
vyre-primitives::math::sinkhorn_scale	0.000000000000
vyre-primitives::math::softmax_step	0.000000000000
vyre-primitives::math::tensor_network_pair_contract	0.000000000000
vyre-primitives::math::tensor_train_decompose	0.000000000000
vyre-primitives::nn::attention_max_pass	0.000000000000
vyre-primitives::nn::attention_sum_pass	0.000000000000
vyre-primitives::nn::attention_write_pass	0.000000000000
vyre-primitives::nn::quest_score_pages	0.000000000000
vyre-primitives::nn::quest_select_top_k	0.000000000000
vyre-primitives::nn::quest_zero_fill	0.000000000000
vyre-primitives::opt::homotopy_euler_predictor	0.000000000000
vyre-primitives::parsing::ast_cse_structural_hash	0.000000000000
vyre-primitives::parsing::core_delimiter_match	0.000000000000
vyre-primitives::parsing::line_splice_classify	0.000000000000
vyre-primitives::parsing::planar_rewrite_schedule	0.000000000000
vyre-primitives::parsing::ssa_dominance_scan	0.000000000000
vyre-primitives::parsing::whitespace_classify_word	0.000000000000
vyre-primitives::predicate::arg_of	0.000000000000
vyre-primitives::predicate::call_to	0.000000000000
vyre-primitives::predicate::edge	0.000000000000
vyre-primitives::predicate::in_file	0.714285714286
vyre-primitives::predicate::in_function	0.714285714286
vyre-primitives::predicate::in_package	0.714285714286
vyre-primitives::predicate::literal_of	0.000000000000
vyre-primitives::predicate::node_kind_eq	0.000000000000
vyre-primitives::predicate::return_value_of	0.000000000000
vyre-primitives::predicate::size_argument_of	0.000000000000
vyre-primitives::reduce::all	0.000000000000
vyre-primitives::reduce::any	0.000000000000
vyre-primitives::reduce::count	0.000000000000
vyre-primitives::reduce::count_non_zero	0.000000000000
vyre-primitives::reduce::gather	0.000000000000
vyre-primitives::reduce::histogram	0.000000000000
vyre-primitives::reduce::max	0.000000000000
vyre-primitives::reduce::min	0.000000000000
vyre-primitives::reduce::multi_block_prefix_scan_inclusive_sum	0.000000000000
vyre-primitives::reduce::radix_sort	0.000000000000
vyre-primitives::reduce::range_counts_u32	0.000000000000
vyre-primitives::reduce::scatter	0.000000000000
vyre-primitives::reduce::segment_reduce_sum	0.000000000000
vyre-primitives::reduce::sum	0.000000000000
vyre-primitives::reduce::workgroup_any_u32	0.000000000000
vyre-primitives::reduce::workgroup_max_f32	0.000000000000
vyre-primitives::reduce::workgroup_sum_f32	0.000000000000
vyre-primitives::reduce::workgroup_sum_u32	0.000000000000
vyre-primitives::text::byte_histogram_256	0.000000000000
vyre-primitives::text::char_class	0.000000000000
vyre-primitives::text::encoding_classify	0.428571428571
vyre-primitives::text::line_index	0.000000000000
vyre-primitives::text::utf8_shape_counts	0.000000000000
vyre-primitives::text::utf8_validate	0.000000000000
vyre-primitives::vfs::resolve	0.000000000000
vyre-primitives::visual::packed_rgba_map	0.000000000000
